"ZDB-GENE-091113-6","ank1b","GO:0044325","","ion channel binding","Danio rerio","IBA"
"ZDB-GENE-040426-1692","gabra6a","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-040426-1692","gabra6a","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-040426-1692","gabra6a","GO:0005237","","inhibitory extracellular ligand-gated ion channel activity","Danio rerio","IBA"
"ZDB-GENE-040426-1692","gabra6a","GO:0022851","","GABA-gated chloride ion channel activity","Danio rerio","IBA"
"ZDB-GENE-040426-1692","gabra6a","GO:1904315","","transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential","Danio rerio","IBA"
"ZDB-GENE-080815-1","gabra6b","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-080815-1","gabra6b","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-080815-1","gabra6b","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-080815-1","gabra6b","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-080815-1","gabra6b","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-080815-1","gabra6b","GO:0005237","","inhibitory extracellular ligand-gated ion channel activity","Danio rerio","IBA"
"ZDB-GENE-080815-1","gabra6b","GO:0022851","","GABA-gated chloride ion channel activity","Danio rerio","IBA"
"ZDB-GENE-080815-1","gabra6b","GO:1904315","","transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential","Danio rerio","IBA"
"ZDB-GENE-090313-230","gabrb1","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-090313-230","gabrb1","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-090313-230","gabrb1","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-090313-230","gabrb1","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-090313-230","gabrb1","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-030131-8196","gabrb2a","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-030131-8196","gabrb2a","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-030131-8196","gabrb2a","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-030131-8196","gabrb2a","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-030131-8196","gabrb2a","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-111215-5","gabrb2b","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-111215-5","gabrb2b","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-111215-5","gabrb2b","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-111215-5","gabrb2b","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-111215-5","gabrb2b","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-101102-2","gabrb3","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-101102-2","gabrb3","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-101102-2","gabrb3","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-101102-2","gabrb3","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-101102-2","gabrb3","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-070424-211","gabrb4","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-070424-211","gabrb4","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-070424-211","gabrb4","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-070424-211","gabrb4","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-070424-211","gabrb4","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-081105-170","gabrd","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-081105-170","gabrd","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-081105-170","gabrd","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-081105-170","gabrd","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-141215-66","gabrg1","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-141215-66","gabrg1","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-141215-66","gabrg1","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-141215-66","gabrg1","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-141215-66","gabrg1","GO:0005237","","inhibitory extracellular ligand-gated ion channel activity","Danio rerio","IBA"
"ZDB-GENE-141215-66","gabrg1","GO:0022851","","GABA-gated chloride ion channel activity","Danio rerio","IBA"
"ZDB-GENE-141215-66","gabrg1","GO:1904315","","transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential","Danio rerio","IBA"
"ZDB-GENE-141215-66","gabrg1","GO:1904315","","transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential","Danio rerio","IBA"
"ZDB-GENE-091118-65","gabrg2","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-091118-65","gabrg2","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-091118-65","gabrg2","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-091118-65","gabrg2","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-091118-65","gabrg2","GO:0005237","","inhibitory extracellular ligand-gated ion channel activity","Danio rerio","IBA"
"ZDB-GENE-091118-65","gabrg2","GO:0022851","","GABA-gated chloride ion channel activity","Danio rerio","IBA"
"ZDB-GENE-091118-65","gabrg2","GO:1904315","","transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential","Danio rerio","IBA"
"ZDB-GENE-091118-65","gabrg2","GO:1904315","","transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential","Danio rerio","IBA"
"ZDB-GENE-081028-62","gabrp","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-081028-62","gabrp","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-081028-62","gabrp","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-081028-62","gabrp","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-040724-212","gabrr1","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-040724-212","gabrr1","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-040724-212","gabrr1","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-040724-212","gabrr1","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-060825-164","gabrr2a","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-060825-164","gabrr2a","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-060825-164","gabrr2a","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-060825-164","gabrr2a","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-041014-174","gabrr2b","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-041014-174","gabrr2b","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-041014-174","gabrr2b","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-041014-174","gabrr2b","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-080722-20","gabrr3a","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-080722-20","gabrr3a","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-080722-20","gabrr3a","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-080722-20","gabrr3a","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-131120-131","gabrr3b","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-131120-131","gabrr3b","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-131120-131","gabrr3b","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-131120-131","gabrr3b","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-080303-26","gabrz","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-080303-26","gabrz","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-080303-26","gabrz","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-080303-26","gabrz","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-031217-3","gja3","GO:0005243","","gap junction channel activity","Danio rerio","IEA"
"ZDB-GENE-040407-3","gja5a","GO:0005243","","gap junction channel activity","Danio rerio","IDA"
"ZDB-GENE-030911-1","gjd2b","GO:0005244","","voltage-gated ion channel activity","Danio rerio","IDA"
"ZDB-GENE-991117-1","glra1","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-991117-1","glra1","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-991117-1","glra1","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-991117-1","glra1","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-991117-1","glra1","GO:0016933","","extracellularly glycine-gated ion channel activity","Danio rerio","IDA"
"ZDB-GENE-991117-1","glra1","GO:0022824","","transmitter-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-090407-1","glra2","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-090407-1","glra2","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-090407-1","glra2","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-090407-1","glra2","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-090407-1","glra2","GO:0016933","","extracellularly glycine-gated ion channel activity","Danio rerio","IDA"
"ZDB-GENE-090407-1","glra2","GO:0022824","","transmitter-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-020402-1","glra3","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-020402-1","glra3","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-020402-1","glra3","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-020402-1","glra3","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-020402-1","glra3","GO:0016933","","extracellularly glycine-gated ion channel activity","Danio rerio","IDA"
"ZDB-GENE-020402-1","glra3","GO:0022824","","transmitter-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-010410-3","glra4a","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-010410-3","glra4a","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-010410-3","glra4a","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-010410-3","glra4a","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-010410-3","glra4a","GO:0016933","","extracellularly glycine-gated ion channel activity","Danio rerio","IDA"
"ZDB-GENE-010410-3","glra4a","GO:0022824","","transmitter-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-020402-2","glra4b","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-020402-2","glra4b","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-020402-2","glra4b","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-020402-2","glra4b","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-020402-2","glra4b","GO:0016933","","extracellularly glycine-gated ion channel activity","Danio rerio","IDA"
"ZDB-GENE-020402-2","glra4b","GO:0022824","","transmitter-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-010410-2","glrba","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-010410-2","glrba","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-010410-2","glrba","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-040801-106","glrbb","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-040801-106","glrbb","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-040801-106","glrbb","GO:0005230","","extracellular ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-020125-1","gria1a","GO:0015276","","ligand-gated ion channel activity","Danio rerio","IBA"
"ZDB-GENE-020125-1","gria1a","GO:0015276","","ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-020125-1","gria1a","GO:1904315","","transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential","Danio rerio","IBA"
"ZDB-GENE-020125-2","gria1b","GO:0015276","","ligand-gated ion channel activity","Danio rerio","IBA"
"ZDB-GENE-020125-2","gria1b","GO:0015276","","ligand-gated ion channel activity","Danio rerio","IBA"
"ZDB-GENE-020125-2","gria1b","GO:0015276","","ligand-gated ion channel activity","Danio rerio","IBA"
"ZDB-GENE-020125-2","gria1b","GO:0015276","","ligand-gated ion channel activity","Danio rerio","IBA"
"ZDB-GENE-020125-2","gria1b","GO:0015276","","ligand-gated ion channel activity","Danio rerio","IBA"
"ZDB-GENE-020125-2","gria1b","GO:0015276","","ligand-gated ion channel activity","Danio rerio","IBA"
"ZDB-GENE-020125-2","gria1b","GO:0015276","","ligand-gated ion channel activity","Danio rerio","IBA"
"ZDB-GENE-020125-2","gria1b","GO:0015276","","ligand-gated ion channel activity","Danio rerio","IBA"
"ZDB-GENE-020125-2","gria1b","GO:0015276","","ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-020125-2","gria1b","GO:1904315","","transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential","Danio rerio","IBA"
"ZDB-GENE-020125-3","gria2a","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-020125-3","gria2a","GO:0015276","","ligand-gated ion channel activity","Danio rerio","IBA"
"ZDB-GENE-020125-3","gria2a","GO:0015276","","ligand-gated ion channel activity","Danio rerio","IBA"
"ZDB-GENE-020125-3","gria2a","GO:0015276","","ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-020125-3","gria2a","GO:1904315","","transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential","Danio rerio","IBA"
"ZDB-GENE-020125-4","gria2b","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-020125-4","gria2b","GO:0015276","","ligand-gated ion channel activity","Danio rerio","IBA"
"ZDB-GENE-020125-4","gria2b","GO:0015276","","ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-020125-4","gria2b","GO:1904315","","transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential","Danio rerio","IBA"
"ZDB-GENE-020125-5","gria3a","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-020125-5","gria3a","GO:0015276","","ligand-gated ion channel activity","Danio rerio","IBA"
"ZDB-GENE-020125-5","gria3a","GO:0015276","","ligand-gated ion channel activity","Danio rerio","IBA"
"ZDB-GENE-020125-5","gria3a","GO:0015276","","ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-020125-5","gria3a","GO:1904315","","transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential","Danio rerio","IBA"
"ZDB-GENE-030616-53","gria3b","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-030616-53","gria3b","GO:0015276","","ligand-gated ion channel activity","Danio rerio","IBA"
"ZDB-GENE-030616-53","gria3b","GO:0015276","","ligand-gated ion channel activity","Danio rerio","IBA"
"ZDB-GENE-030616-53","gria3b","GO:0015276","","ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-030616-53","gria3b","GO:1904315","","transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential","Danio rerio","IBA"
"ZDB-GENE-020125-7","gria4a","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-020125-7","gria4a","GO:0015276","","ligand-gated ion channel activity","Danio rerio","IBA"
"ZDB-GENE-020125-7","gria4a","GO:0015276","","ligand-gated ion channel activity","Danio rerio","IBA"
"ZDB-GENE-020125-7","gria4a","GO:0015276","","ligand-gated ion channel activity","Danio rerio","IBA"
"ZDB-GENE-020125-7","gria4a","GO:0015276","","ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-020125-7","gria4a","GO:1904315","","transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential","Danio rerio","IBA"
"ZDB-GENE-030131-8013","gria4b","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-030131-8013","gria4b","GO:0015276","","ligand-gated ion channel activity","Danio rerio","IBA"
"ZDB-GENE-030131-8013","gria4b","GO:0015276","","ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-030131-8013","gria4b","GO:1904315","","transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential","Danio rerio","IBA"
"ZDB-GENE-120411-28","grid1a","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-120411-28","grid1a","GO:0015276","","ligand-gated ion channel activity","Danio rerio","IBA"
"ZDB-GENE-120411-28","grid1a","GO:0015276","","ligand-gated ion channel activity","Danio rerio","IBA"
"ZDB-GENE-120411-28","grid1a","GO:0015276","","ligand-gated ion channel activity","Danio rerio","IBA"
"ZDB-GENE-120411-28","grid1a","GO:0015276","","ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-120411-28","grid1a","GO:1904315","","transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential","Danio rerio","IBA"
"ZDB-GENE-120411-28","grid1a","GO:1904315","","transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential","Danio rerio","IBA"
"ZDB-GENE-121214-84","grid1b","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-121214-84","grid1b","GO:0015276","","ligand-gated ion channel activity","Danio rerio","IBA"
"ZDB-GENE-121214-84","grid1b","GO:0015276","","ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-121214-84","grid1b","GO:1904315","","transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential","Danio rerio","IBA"
"ZDB-GENE-121214-84","grid1b","GO:1904315","","transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential","Danio rerio","IBA"
"ZDB-GENE-040913-1","grid2","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-040913-1","grid2","GO:0015276","","ligand-gated ion channel activity","Danio rerio","IBA"
"ZDB-GENE-040913-1","grid2","GO:0015276","","ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-040913-1","grid2","GO:1904315","","transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential","Danio rerio","IBA"
"ZDB-GENE-030131-6502","grik1a","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-030131-6502","grik1a","GO:0015276","","ligand-gated ion channel activity","Danio rerio","IBA"
"ZDB-GENE-030131-6502","grik1a","GO:0015276","","ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-030131-6502","grik1a","GO:1904315","","transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential","Danio rerio","IBA"
"ZDB-GENE-070821-1","grik1b","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-070821-1","grik1b","GO:0015276","","ligand-gated ion channel activity","Danio rerio","IBA"
"ZDB-GENE-070821-1","grik1b","GO:0015276","","ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-070821-1","grik1b","GO:1904315","","transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential","Danio rerio","IBA"
"ZDB-GENE-070821-5","grik4","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-070821-5","grik4","GO:0015276","","ligand-gated ion channel activity","Danio rerio","IBA"
"ZDB-GENE-070821-5","grik4","GO:0015276","","ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-070821-5","grik4","GO:1904315","","transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential","Danio rerio","IBA"
"ZDB-GENE-070821-6","grik5","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-070821-6","grik5","GO:0015276","","ligand-gated ion channel activity","Danio rerio","IBA"
"ZDB-GENE-070821-6","grik5","GO:0015276","","ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-070821-6","grik5","GO:1904315","","transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential","Danio rerio","IBA"
"ZDB-GENE-051202-1","grin1a","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-051202-1","grin1a","GO:0015276","","ligand-gated ion channel activity","Danio rerio","IBA"
"ZDB-GENE-051202-1","grin1a","GO:0015276","","ligand-gated ion channel activity","Danio rerio","IBA"
"ZDB-GENE-051202-1","grin1a","GO:0015276","","ligand-gated ion channel activity","Danio rerio","IBA"
"ZDB-GENE-051202-1","grin1a","GO:0015276","","ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-051202-2","grin1b","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-051202-2","grin1b","GO:0015276","","ligand-gated ion channel activity","Danio rerio","IBA"
"ZDB-GENE-051202-2","grin1b","GO:0015276","","ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-070424-129","grin2aa","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-070424-129","grin2aa","GO:0015276","","ligand-gated ion channel activity","Danio rerio","IBA"
"ZDB-GENE-070424-129","grin2aa","GO:0015276","","ligand-gated ion channel activity","Danio rerio","IBA"
"ZDB-GENE-070424-129","grin2aa","GO:0015276","","ligand-gated ion channel activity","Danio rerio","IBA"
"ZDB-GENE-070424-129","grin2aa","GO:0015276","","ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-070424-129","grin2aa","GO:1904315","","transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential","Danio rerio","IBA"
"ZDB-GENE-070424-129","grin2aa","GO:1904315","","transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential","Danio rerio","IBA"
"ZDB-GENE-070424-223","grin2ab","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-070424-223","grin2ab","GO:0015276","","ligand-gated ion channel activity","Danio rerio","IBA"
"ZDB-GENE-070424-223","grin2ab","GO:0015276","","ligand-gated ion channel activity","Danio rerio","IBA"
"ZDB-GENE-070424-223","grin2ab","GO:0015276","","ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-070424-223","grin2ab","GO:1904315","","transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential","Danio rerio","IBA"
"ZDB-GENE-061207-27","grin2bb","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-061207-27","grin2bb","GO:0015276","","ligand-gated ion channel activity","Danio rerio","IBA"
"ZDB-GENE-061207-27","grin2bb","GO:0015276","","ligand-gated ion channel activity","Danio rerio","IBA"
"ZDB-GENE-061207-27","grin2bb","GO:0015276","","ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-061207-27","grin2bb","GO:1904315","","transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential","Danio rerio","IBA"
"ZDB-GENE-070822-3","grin2ca","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-070822-3","grin2ca","GO:0015276","","ligand-gated ion channel activity","Danio rerio","IBA"
"ZDB-GENE-070822-3","grin2ca","GO:0015276","","ligand-gated ion channel activity","Danio rerio","IBA"
"ZDB-GENE-070822-3","grin2ca","GO:0015276","","ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-070822-3","grin2ca","GO:1904315","","transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential","Danio rerio","IBA"
"ZDB-GENE-100308-2","grin2cb","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-100308-2","grin2cb","GO:0015276","","ligand-gated ion channel activity","Danio rerio","IBA"
"ZDB-GENE-100308-2","grin2cb","GO:0015276","","ligand-gated ion channel activity","Danio rerio","IBA"
"ZDB-GENE-100308-2","grin2cb","GO:0015276","","ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-100308-2","grin2cb","GO:1904315","","transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential","Danio rerio","IBA"
"ZDB-GENE-041008-124","grin2da","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-041008-124","grin2da","GO:0015276","","ligand-gated ion channel activity","Danio rerio","IBA"
"ZDB-GENE-041008-124","grin2da","GO:0015276","","ligand-gated ion channel activity","Danio rerio","IBA"
"ZDB-GENE-041008-124","grin2da","GO:0015276","","ligand-gated ion channel activity","Danio rerio","IBA"
"ZDB-GENE-041008-124","grin2da","GO:0015276","","ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-041008-124","grin2da","GO:1904315","","transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential","Danio rerio","IBA"
"ZDB-GENE-100920-7","grin2db","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-100920-7","grin2db","GO:0015276","","ligand-gated ion channel activity","Danio rerio","IBA"
"ZDB-GENE-100920-7","grin2db","GO:0015276","","ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-100920-7","grin2db","GO:1904315","","transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential","Danio rerio","IBA"
"ZDB-GENE-100920-7","grin2db","GO:1904315","","transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential","Danio rerio","IBA"
"ZDB-GENE-130530-780","grin3a","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-130530-780","grin3a","GO:0015276","","ligand-gated ion channel activity","Danio rerio","IBA"
"ZDB-GENE-130530-780","grin3a","GO:0015276","","ligand-gated ion channel activity","Danio rerio","IEA"
"ZDB-GENE-130530-780","grin3a","GO:1904315","","transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential","Danio rerio","IBA"
"ZDB-GENE-070912-354","grin3ba","GO:0005216","","ion channel activity","Danio rerio","IEA"
"ZDB-GENE-070912-354","grin3ba","GO:0015276","","ligand-gated ion channel activity","Danio rerio","IBA"
"ZDB-GENE-070912-354","grin3ba","GO:0015276","","ligand-gated ion channel activity","Danio rerio","IBA"
